customer_id,gender,senior_citizen,partner,dependents,count,country,state,city,zip_code,lat_long,latitude,longitude,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,contract,tenure_months,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason
8926-JPBK,Male,Yes,No,Yes,1,United States,California,Stevenhaven,78868,"86.518769, 171.676730",-27.8801445,-162.935408,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,No,No,Electronic check,One year,61,85.66,5225.26,No,0,88,3268,
8842-QGUA,Male,Yes,No,Yes,1,United States,California,Maxwellburgh,07798,"-49.160568, 51.697808",45.4161735,79.863392,No,No,No,Yes,No internet service,Yes,No,Yes,Yes,Yes,Bank transfer,One year,71,105.21,7469.91,Yes,1,90,3517,
8234-LTUS,Male,No,Yes,Yes,1,United States,California,Charleston,79234,"-65.2605165, -152.249834",22.416085,84.531917,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Mailed check,Month-to-month,33,91.02,3003.66,Yes,1,84,2912,
7098-WRMZ,Female,No,Yes,Yes,1,United States,California,East Mary,86760,"-10.893945, 134.434295",74.435558,38.323573,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,No,Electronic check,One year,47,29.45,1384.15,Yes,1,89,3314,Competitor made better offer
9628-LUHV,Female,No,No,No,1,United States,California,Christinatown,04160,"-67.758108, -31.098697",-43.3048905,-168.632453,Yes,No,No,No,No internet service,No,No,Yes,Yes,Yes,Credit card,Month-to-month,11,37.79,415.69,No,0,0,5049,
4494-ZLZZ,Female,Yes,No,Yes,1,United States,California,Brightstad,30841,"-9.7153915, -74.503704",-11.5834305,-151.240236,Yes,No phone service,No,No,Yes,No internet service,No,Yes,No,No,Credit card,Two year,14,49.53,693.42,No,0,54,6929,
4192-NNLT,Male,Yes,No,No,1,United States,California,West Michaelfort,82248,"60.0753675, -127.218743",-11.9607395,-81.174255,No,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,Two year,38,49.72,1889.36,Yes,1,66,7077,Competitor made better offer
4095-WOTX,Female,No,Yes,Yes,1,United States,California,West Meganport,96028,"-23.0084625, -24.378873",3.5819115,-179.145897,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,No,Electronic check,Two year,65,116.42,7567.3,No,0,31,6608,
7022-ROYB,Male,No,Yes,Yes,1,United States,California,West Brianna,61696,"-2.1189635, 91.746982",66.33634,96.526338,No,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,No,Mailed check,One year,59,86.19,5085.21,No,0,100,6640,
0816-YCTK,Male,Yes,No,Yes,1,United States,California,North Tanner,04983,"-20.5308005, -63.269287",50.152808,125.796355,Yes,No phone service,No,No,No,Yes,No,No internet service,No internet service,Yes,Electronic check,One year,15,105.95,1589.25,Yes,1,36,5524,Price too high
2191-PPRC,Male,No,Yes,Yes,1,United States,California,Mayfurt,69032,"83.411314, 106.526542",40.8427355,-9.256732,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,Month-to-month,38,22.0,836.0,Yes,1,12,3718,Moved
2417-YYUL,Male,Yes,No,No,1,United States,California,East Brittany,23497,"65.643503, -17.946116",-57.422732,-28.185907,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,Yes,Mailed check,One year,12,98.89,1186.68,No,0,16,7834,
7708-XXNK,Male,No,Yes,No,1,United States,California,Robertchester,14728,"-54.9441565, 104.369957",80.3747915,-47.333915,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,No,Credit card,One year,52,42.64,2217.28,No,0,100,3407,
1895-KADL,Female,Yes,No,Yes,1,United States,California,East Heatherchester,77654,"12.6776615, 9.416310",18.1041165,-169.877842,No,No,Fiber optic,No,No,No,No,Yes,No,No,Bank transfer,One year,61,39.32,2398.52,No,0,25,3167,
2937-UBDC,Female,Yes,No,Yes,1,United States,California,Harveystad,84741,"-50.491342, 37.474090",64.500655,23.110574,No,No phone service,No,No,No,No internet service,Yes,No,No,Yes,Electronic check,Month-to-month,10,108.47,1084.7,No,0,19,2822,
2660-KQYI,Male,No,Yes,Yes,1,United States,California,Lake Thomasville,74829,"-72.631985, -88.403359",70.9115255,-127.781416,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Credit card,One year,56,75.39,4221.84,Yes,1,80,4655,
1942-OEXM,Male,Yes,No,No,1,United States,California,Robinside,31006,"-74.1846005, -141.833353",54.6471755,-101.508762,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,Yes,Bank transfer,Month-to-month,69,66.43,4583.67,No,0,77,5105,
5016-MEIW,Male,Yes,No,Yes,1,United States,California,Reginaport,47988,"-72.5641925, -136.531895",-88.5682635,-119.740632,No,No,No,No,No,Yes,No,No,Yes,Yes,Mailed check,One year,72,38.6,2779.2,No,0,74,6300,
8508-NAMS,Male,Yes,No,Yes,1,United States,California,Weeksborough,84514,"-11.3638215, -101.973185",86.3408675,-148.073109,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,No,Mailed check,Month-to-month,55,21.73,1195.15,No,0,78,7527,
9366-EAQQ,Female,Yes,No,No,1,United States,California,Briantown,72791,"-48.7100635, -81.667812",19.4118485,-28.612496,No,No phone service,No,Yes,No,No internet service,No,No internet service,No internet service,Yes,Bank transfer,Month-to-month,66,58.59,3866.94,No,0,12,4930,
5108-UGXT,Female,No,Yes,Yes,1,United States,California,North Tami,98524,"60.1220275, -175.505212",-28.029358,100.764978,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,Yes,Yes,Mailed check,Two year,17,99.96,1699.32,Yes,1,12,7877,Competitor made better offer
0428-GJWY,Male,No,No,Yes,1,United States,California,Michaelside,34634,"-59.775277, -32.747854",0.0805,44.444742,Yes,No,No,No internet service,No,No,No,No internet service,No,No,Electronic check,Two year,37,97.45,3605.65,No,0,82,2614,
0343-IUKC,Female,No,No,Yes,1,United States,California,Aprilburgh,20698,"-71.7759805, 31.872067",-65.8315605,25.928486,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Yes,Mailed check,Two year,12,50.68,608.16,Yes,1,71,5462,Competitor made better offer
2034-UFSF,Male,Yes,Yes,No,1,United States,California,South Christopherview,56804,"-69.411009, 69.793908",-89.1865885,-61.560907,Yes,No phone service,No,Yes,No,Yes,No,No,No,Yes,Bank transfer,Two year,5,21.81,109.05,Yes,1,55,2673,
3521-HILN,Male,No,No,Yes,1,United States,California,Carrollchester,93523,"89.8987935, -132.341205",42.2990125,-101.805196,No,Yes,No,Yes,No,No,Yes,No internet service,Yes,Yes,Mailed check,Two year,68,39.03,2654.04,Yes,1,83,5389,
0689-MEDN,Male,Yes,Yes,Yes,1,United States,California,Tammyburgh,10199,"-39.5618595, 14.622769",-26.7377175,-152.670542,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No,No,Electronic check,Month-to-month,68,92.9,6317.2,No,0,19,6382,
6775-SNFR,Male,No,Yes,Yes,1,United States,California,South Gwendolyn,73819,"69.746273, -36.301223",-86.763029,-66.094716,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Yes,Bank transfer,Month-to-month,40,96.21,3848.4,Yes,1,67,2153,Competitor made better offer
5930-AZDL,Male,Yes,No,No,1,United States,California,Christopherport,20936,"-79.0590655, 67.011758",-42.570306,52.056327,No,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Yes,Credit card,Month-to-month,15,97.83,1467.45,Yes,1,18,2996,Price too high
7916-XDEO,Male,No,Yes,No,1,United States,California,New Sabrina,33511,"-26.0670095, -45.430546",9.356274,119.735107,Yes,No,DSL,No internet service,No,No,No,No,No,No,Electronic check,Month-to-month,65,45.03,2926.95,Yes,1,4,4594,Price too high
6069-GZRT,Female,No,No,No,1,United States,California,Schwartzborough,06442,"68.2539005, -140.798315",84.0731715,148.547445,No,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,Month-to-month,33,72.25,2384.25,Yes,1,13,5655,Price too high
3831-GBOZ,Male,No,Yes,No,1,United States,California,North Andrew,56249,"-79.325893, -112.034709",-88.146865,10.172977,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Electronic check,One year,30,98.3,2949.0,Yes,1,38,7540,Moved
7751-RGHS,Male,No,Yes,Yes,1,United States,California,Mccarthymouth,89411,"-18.932799, -100.394012",-54.7331685,96.055261,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Electronic check,One year,72,111.94,8059.68,No,0,25,2004,
5792-FOGO,Female,Yes,Yes,No,1,United States,California,Danieltown,29349,"69.5586955, -122.303783",-88.7577015,100.710287,No,No,No,No internet service,No internet service,No,Yes,No internet service,Yes,No,Electronic check,Month-to-month,61,51.37,3133.57,No,0,84,2168,
2285-CLPV,Male,No,Yes,No,1,United States,California,East Michaelfort,52771,"-45.1755125, -162.018245",-55.574083,32.046414,No,No phone service,Fiber optic,No,Yes,No,No,No,No internet service,Yes,Mailed check,Two year,69,61.78,4262.82,No,0,33,7376,
4712-HQSU,Female,Yes,No,Yes,1,United States,California,West Paul,19017,"77.400420, 140.909597",-39.5264365,71.808641,Yes,No,DSL,No internet service,No,No,Yes,Yes,No internet service,No,Bank transfer,One year,52,67.34,3501.68,No,0,60,6628,
9171-BJCB,Female,No,Yes,No,1,United States,California,Thomasbury,84101,"-35.5862035, 148.246503",-37.1209175,122.682978,No,Yes,No,No internet service,No internet service,No internet service,No,No,Yes,Yes,Bank transfer,Month-to-month,59,24.38,1438.42,No,0,36,7617,
5150-IHES,Male,No,Yes,No,1,United States,California,New Josephville,64466,"-3.7368835, -36.235266",89.590388,17.943901,Yes,No phone service,DSL,No,No,No internet service,No internet service,Yes,Yes,Yes,Mailed check,One year,53,30.76,1630.28,Yes,1,16,4591,
9570-GCFW,Male,No,Yes,Yes,1,United States,California,Wendyside,53988,"48.5584705, 71.747798",-61.162023,-3.824602,No,Yes,No,No internet service,Yes,Yes,No internet service,No,No internet service,Yes,Electronic check,Two year,54,106.01,5724.54,Yes,1,18,7717,Competitor made better offer
9421-PHZY,Male,No,Yes,Yes,1,United States,California,Barbarafurt,48408,"-8.3109355, -106.710765",-34.657851,-84.549584,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Yes,Bank transfer,Two year,53,117.89,6248.17,Yes,1,22,6810,
5510-ELTG,Male,No,Yes,No,1,United States,California,West Michael,21665,"-79.209123, -4.344970",-21.787688,-5.209548,No,Yes,No,No internet service,Yes,No internet service,Yes,No,No,Yes,Mailed check,Two year,11,56.19,618.09,No,0,84,2864,
2709-CRUV,Female,No,Yes,Yes,1,United States,California,Oscartown,69424,"33.592818, -89.269272",32.2345055,153.448418,No,Yes,DSL,No internet service,No,No,No internet service,Yes,No internet service,Yes,Bank transfer,One year,11,82.66,909.26,Yes,1,16,5959,Price too high
8926-YOGH,Female,Yes,No,No,1,United States,California,Lake Veronicafort,61270,"-7.266742, 65.394712",38.497857,-159.556968,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,No,Mailed check,Two year,62,109.78,6806.36,Yes,1,33,6873,Competitor made better offer
8078-RVRU,Male,Yes,No,No,1,United States,California,North Chris,97794,"-69.8039675, 85.781435",72.9545645,114.556554,No,No phone service,No,No,Yes,No,Yes,No internet service,Yes,Yes,Mailed check,One year,55,73.42,4038.1,No,0,70,3871,
5879-NRAW,Female,No,Yes,Yes,1,United States,California,Mooreburgh,54235,"89.4741465, 133.486709",-79.1634565,-107.741388,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,No,Mailed check,One year,70,63.26,4428.2,No,0,85,3475,
9453-VACB,Male,Yes,No,Yes,1,United States,California,New Chadbury,41215,"-57.9512395, -23.126433",-3.189482,22.579168,No,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,No,Electronic check,Month-to-month,52,63.2,3286.4,No,0,6,5363,
8815-VXJF,Male,Yes,No,Yes,1,United States,California,South Michael,36238,"-22.695268, 11.834263",-45.485705,137.211156,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Yes,Bank transfer,One year,11,67.83,746.13,Yes,1,0,6692,Competitor made better offer
1158-ODLE,Male,No,Yes,Yes,1,United States,California,North Taylorport,56734,"7.4991155, -110.543607",-24.0894125,-110.45869,No,Yes,No,No internet service,Yes,No internet service,No,No internet service,Yes,Yes,Electronic check,One year,34,67.5,2295.0,Yes,1,55,7627,Price too high
8514-RZVZ,Male,No,No,No,1,United States,California,North Nancy,95310,"-16.679459, 114.223109",14.6528215,153.989954,Yes,No,No,No,No,No internet service,Yes,No internet service,No internet service,No,Mailed check,Two year,68,68.31,4645.08,No,0,9,5202,
0918-GNTL,Male,Yes,No,No,1,United States,California,Elizabethview,59797,"-23.6213805, -153.089973",38.1819885,81.145534,Yes,No phone service,No,Yes,No,No internet service,No,No internet service,No,No,Credit card,Month-to-month,66,41.4,2732.4,No,0,91,3585,
5070-ATSH,Female,Yes,No,Yes,1,United States,California,Sweeneyfurt,82015,"-18.0630585, -4.007974",-6.870459,-91.866549,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,Month-to-month,14,25.47,356.58,No,0,26,6597,
3339-ZPGC,Male,Yes,Yes,Yes,1,United States,California,Jamesborough,43855,"-55.1634045, -14.712761",74.917648,-112.711552,No,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,No,Credit card,One year,17,70.19,1193.23,Yes,1,12,4271,Competitor made better offer
4837-SLOT,Female,Yes,No,Yes,1,United States,California,Jessicaport,36463,"-17.904178, 90.173181",-28.1035425,-126.733486,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Bank transfer,Two year,44,67.27,2959.88,Yes,1,24,4675,Price too high
7403-NMJC,Female,No,No,No,1,United States,California,South Megan,21708,"5.641172, 125.890845",-67.225405,19.326659,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,No,Credit card,Month-to-month,48,99.53,4777.44,Yes,1,20,5796,
4159-KYIH,Female,No,Yes,Yes,1,United States,California,Reneeview,27030,"21.2715955, 94.453551",-56.171736,114.504871,No,Yes,No,No internet service,No,No,No,No,Yes,Yes,Bank transfer,Month-to-month,39,108.83,4244.37,Yes,1,21,7543,Price too high
1481-WFHX,Female,Yes,Yes,Yes,1,United States,California,West Codyport,43068,"-57.7682455, -27.774215",-62.0931275,69.940068,Yes,Yes,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,Mailed check,Month-to-month,29,54.65,1584.85,No,0,85,2824,
3482-XEBE,Female,Yes,Yes,No,1,United States,California,East Johnbury,50186,"19.0778215, -82.894043",39.486053,-90.198445,No,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,No,Mailed check,Two year,47,101.16,4754.52,No,0,100,3473,
5735-GJNS,Male,Yes,No,Yes,1,United States,California,East Christine,09642,"-39.518762, -54.991487",-41.9717165,-138.626389,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Yes,Electronic check,Two year,18,98.55,1773.9,Yes,1,34,2476,
9059-RWPJ,Male,Yes,Yes,No,1,United States,California,Singhfurt,68644,"31.3677815, 124.329770",-73.435391,102.275052,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Yes,Electronic check,Two year,22,107.47,2364.34,No,0,78,3498,
2946-ZCUS,Male,No,No,Yes,1,United States,California,Burnschester,88139,"61.9084245, 53.345798",61.364884,-24.477666,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,Two year,71,90.74,6442.54,No,0,58,5623,
5050-YFCE,Male,No,No,Yes,1,United States,California,Veronicamouth,81588,"68.446567, -10.605194",-77.100634,-117.587332,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No,No,Mailed check,One year,0,72.21,0.0,Yes,1,28,7235,
7101-NNCT,Male,Yes,Yes,No,1,United States,California,Lake Christopher,50111,"40.065474, 156.249142",66.0339785,-69.453998,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Yes,Mailed check,One year,62,55.73,3455.26,Yes,1,18,7635,Price too high
2464-TOIU,Female,No,Yes,Yes,1,United States,California,East Amyside,43688,"-87.3676055, -69.507302",-26.987034,-84.75723,No,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes,No,Credit card,One year,32,33.07,1058.24,Yes,1,65,6112,Moved
4336-GSSV,Female,Yes,Yes,Yes,1,United States,California,East Daniel,79631,"35.2193245, -155.001961",11.520845,-47.628144,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No internet service,No,Bank transfer,Month-to-month,64,36.01,2304.64,No,0,67,6743,
0286-ZBEU,Female,Yes,No,No,1,United States,California,Rasmussenchester,03052,"-73.6906435, -61.327283",-63.592665,93.430079,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,No,Mailed check,One year,9,52.66,473.94,No,0,22,5700,
2385-GSPP,Male,No,Yes,Yes,1,United States,California,Nashbury,74134,"1.6514365, 79.314603",72.4719775,-29.865337,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No internet service,No,Credit card,Two year,10,94.31,943.1,No,0,65,2614,
2989-CBEE,Male,No,No,Yes,1,United States,California,Beckport,53316,"65.913623, 25.500580",-3.0434415,-104.376838,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Yes,Bank transfer,Month-to-month,0,100.03,0.0,No,0,30,6343,
2306-DCJX,Female,Yes,Yes,No,1,United States,California,West Matthewborough,88195,"-3.8262335, 95.086801",-40.935249,46.321615,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,No,Mailed check,Month-to-month,13,47.52,617.76,No,0,89,6945,
6325-WKRB,Female,Yes,Yes,Yes,1,United States,California,North Christineberg,21314,"43.0459035, 45.671098",68.650628,20.852023,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No,Yes,Electronic check,One year,56,116.64,6531.84,No,0,77,5207,
8087-YUWS,Female,No,No,No,1,United States,California,Kennedyside,70016,"-24.007051, -135.486418",-38.946066,74.560633,No,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,Yes,Mailed check,One year,21,104.54,2195.34,Yes,1,36,7726,
1419-RAOR,Male,No,Yes,Yes,1,United States,California,Hayleystad,34692,"12.2959695, 58.586399",75.5427335,-115.244112,No,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Yes,Bank transfer,Two year,25,26.75,668.75,Yes,1,5,2874,Competitor made better offer
5336-GBPZ,Female,Yes,No,No,1,United States,California,Edwardsbury,64859,"-9.5847815, 26.038314",-83.92679,15.691801,No,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,Yes,Electronic check,One year,14,50.21,702.94,No,0,17,3439,
0636-RFMN,Male,Yes,No,Yes,1,United States,California,Rickyfurt,92157,"53.536619, -82.423741",81.356049,162.958463,No,No,No,Yes,No internet service,Yes,Yes,No,Yes,Yes,Mailed check,Two year,69,63.44,4377.36,No,0,44,5578,
7051-QBTW,Female,Yes,Yes,No,1,United States,California,Brownhaven,32432,"-19.273073, -73.751298",-78.1646145,-119.449871,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,No,Mailed check,Month-to-month,68,69.07,4696.76,No,0,68,6053,
4710-GFGJ,Female,No,No,No,1,United States,California,Lake Rhondamouth,83938,"-41.6915775, -115.914746",-87.6189505,-62.083892,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,No,Bank transfer,Two year,57,77.79,4434.03,No,0,28,7407,
1090-PDSG,Male,Yes,Yes,No,1,United States,California,Lake Shannonmouth,37574,"72.535133, -2.430749",24.284652,100.697061,No,No,Fiber optic,No,No,No,No internet service,Yes,No internet service,No,Electronic check,One year,54,27.19,1468.26,Yes,1,56,3681,Moved
2990-RPOV,Female,No,Yes,No,1,United States,California,Newmanburgh,93575,"-33.665226, 101.402407",14.7664115,111.51542,Yes,Yes,DSL,No,Yes,No,No internet service,No,Yes,Yes,Mailed check,Month-to-month,22,96.73,2128.06,Yes,1,65,3057,
6809-CBXT,Female,No,No,No,1,United States,California,South Eric,28456,"58.702856, 166.578711",-66.392494,101.496646,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,No,Bank transfer,One year,31,42.25,1309.75,No,0,68,2139,
9266-FGZM,Male,Yes,No,No,1,United States,California,West Shelly,24753,"46.5514305, 96.014262",58.2894875,173.839794,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Yes,Bank transfer,Two year,1,25.57,25.57,Yes,1,29,5267,Price too high
8209-FNAZ,Female,Yes,Yes,Yes,1,United States,California,Port Aliciafurt,03220,"-76.167253, -103.102776",-10.1658765,-42.096356,Yes,No phone service,No,No internet service,Yes,No,No,Yes,No internet service,No,Credit card,Two year,3,61.64,184.92,No,0,5,7907,
2663-BCMV,Female,No,Yes,No,1,United States,California,Brandonberg,78358,"58.229795, 79.841915",3.643019,-28.364244,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,No,Electronic check,Month-to-month,54,71.52,3862.08,No,0,37,5744,
8827-JABC,Male,No,No,Yes,1,United States,California,Port Sandra,80155,"51.883854, -26.670655",56.2130365,-131.292211,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,Two year,43,90.02,3870.86,No,0,84,2937,
1725-DFRM,Male,No,Yes,Yes,1,United States,California,Kellerhaven,60805,"-36.8882115, 144.641088",-87.2228425,53.786152,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,No internet service,Yes,Credit card,Two year,16,41.81,668.96,Yes,1,89,5476,Competitor made better offer
3699-HGMS,Male,No,Yes,Yes,1,United States,California,Ellisborough,56906,"-22.0906625, -65.971947",85.2881925,-122.238604,No,No phone service,No,Yes,No internet service,No,No,Yes,Yes,Yes,Electronic check,One year,6,98.62,591.72,Yes,1,55,5807,Competitor made better offer
3412-TXMG,Female,Yes,Yes,Yes,1,United States,California,Lake Thomasshire,42782,"47.095076, 164.153327",-50.68737,22.800057,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Mailed check,Month-to-month,11,113.87,1252.57,Yes,1,74,7393,Price too high
0467-HGPA,Male,Yes,Yes,Yes,1,United States,California,North Krystal,63158,"82.754591, 157.302344",-46.446062,150.292005,No,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,No,Electronic check,Month-to-month,47,34.52,1622.44,Yes,1,56,3567,Competitor made better offer
3593-DYPV,Female,No,Yes,Yes,1,United States,California,North Kimtown,73022,"6.1748675, 174.342478",-45.592082,93.652768,No,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,No,Credit card,Month-to-month,52,87.6,4555.2,No,0,91,7622,
2828-RJIB,Male,Yes,Yes,No,1,United States,California,Tylerville,01356,"78.261075, 113.779465",-53.186341,-96.302891,No,No phone service,DSL,Yes,Yes,No internet service,No,No,No internet service,No,Mailed check,Two year,5,95.69,478.45,No,0,6,2606,
8147-RRBG,Male,Yes,No,Yes,1,United States,California,East Erin,38715,"50.3670835, 51.594086",51.988702,-114.963716,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Yes,Mailed check,One year,40,113.06,4522.4,Yes,1,87,6837,Price too high
3542-SWKV,Female,No,Yes,No,1,United States,California,Andreachester,72231,"-6.0496605, 65.493992",9.9246285,151.73255,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Yes,Credit card,One year,4,82.07,328.28,Yes,1,94,7857,Moved
