customer_id,gender,senior_citizen,partner,dependents,count,country,state,city,zip_code,lat_long,latitude,longitude,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,contract,tenure_in_months,monthly_charges_amount,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason
0093-EXYQL,Female,Yes,No,No,1,United States,California,Ojai,93023,34.581308& -118.931948,34.581308,-118.931948,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,40,91.55,3673.6,No,0,59,5742,
0093-XWZFY,Male,No,No,No,1,United States,California,Desert Hot Springs,92241,33.832799& -116.250973,33.832799,-116.250973,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),Month-to-month,40,104.5,4036.85,Yes,1,93,2832,Competitor had better devices
0094-OIFMO,Female,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.207295& -118.400022,34.207295,-118.400022,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,11,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction
0107-YHINA,Male,No,No,No,1,United States,California,Los Angeles,90062,34.003553& -118.308933,34.003553,-118.308933,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,Month-to-month,1,99.75,99.75,Yes,1,93,4214,Attitude of support person
0278-YXOOG,Male,No,No,No,1,United States,California,Inglewood,90301,33.956445& -118.358634,33.956445,-118.358634,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,Month-to-month,5,21.05,113.85,Yes,1,66,2604,Network reliability
0111-KLBQG,Male,Yes,Yes,Yes,1,United States,California,Morongo Valley,92256,34.097863& -116.594561,34.097863,-116.594561,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Mailed check,Month-to-month,32,93.95,2861.45,No,0,62,2844,
3192-NQECA,Male,No,Yes,No,1,United States,California,Santa Monica,90403,34.031529& -118.491156,34.031529,-118.491156,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Two year,68,110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed
0112-QAWRZ,Male,No,Yes,Yes,1,United States,California,Palo Verde,92266,33.3249& -114.758334,33.3249,-114.758334,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),Month-to-month,16,90.8,1442.2,No,0,66,5560,
0114-PEGZZ,Female,No,No,No,1,United States,California,Round Mountain,96084,40.923558& -122.059933,40.923558,-122.059933,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,33,107.55,3645.5,No,0,33,4800,
0115-TFERT,Male,No,Yes,No,1,United States,California,Fresno,93650,36.841655& -119.797113,36.841655,-119.797113,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,21,111.2,2317.1,Yes,1,89,4123,Attitude of service provider
0118-JPNOY,Female,Yes,No,No,1,United States,California,Le Grand,95333,37.249377& -120.249581,37.249377,-120.249581,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,Credit card (automatic),Month-to-month,26,85.8,2193.65,No,0,46,5700,
0122-OAHPZ,Female,No,No,No,1,United States,California,Oceanside,92057,33.254497& -117.285879,33.254497,-117.285879,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,7,73.85,511.25,Yes,1,67,2473,Price too high
6207-WIOLX,Female,No,Yes,No,1,United States,California,Avalon,90704,33.391181& -118.421305,33.391181,-118.421305,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),Month-to-month,25,58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website
3091-FYHKI,Male,No,No,No,1,United States,California,Harbor City,90710,33.798266& -118.300237,33.798266,-118.300237,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Electronic check,Month-to-month,1,35.45,35.45,Yes,1,80,2301,Network reliability
2372-HWUHI,Male,No,No,No,1,United States,California,Lakewood,90712,33.840524& -118.148403,33.840524,-118.148403,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,Month-to-month,2,44.35,81.25,Yes,1,76,2570,Don't know
0125-LZQXK,Male,No,No,No,1,United States,California,Big Oak Flat,95305,37.818589& -120.256995,37.818589,-120.256995,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,15,101.35,1553.95,Yes,1,99,3025,Attitude of service provider
4080-OGPJL,Female,No,No,No,1,United States,California,San Pedro,90731,33.736387& -118.284363,33.736387,-118.284363,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Electronic check,Month-to-month,8,71.15,563.65,Yes,1,66,2662,Don't know
2135-RXIHG,Male,No,No,No,1,United States,California,Carson,90745,33.822295& -118.26411,33.822295,-118.26411,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,1,45.65,45.65,Yes,1,73,2600,Poor expertise of online support
0129-KPTWJ,Male,No,Yes,No,1,United States,California,North Highlands,95660,38.671295& -121.388251,38.671295,-121.388251,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,Month-to-month,72,94.65,6747.35,No,0,20,5943,
0130-SXOUN,Male,No,No,No,1,United States,California,Glenhaven,95443,39.045246& -122.743181,39.045246,-122.743181,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No,Credit card (automatic),Month-to-month,66,89.4,5976.9,No,0,49,4889,
0133-BMFZO,Female,No,No,No,1,United States,California,Alhambra,91803,34.074736& -118.145959,34.074736,-118.145959,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Electronic check,Month-to-month,2,86.25,181.65,Yes,1,94,3529,Competitor offered higher download speeds
3445-HXXGF,Male,Yes,Yes,No,1,United States,California,Sierra Madre,91024,34.168686& -118.057505,34.168686,-118.057505,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,58,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction
0135-NMXAP,Female,No,No,No,1,United States,California,Lodi,95240,38.123544& -121.159078,38.123544,-121.159078,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),Month-to-month,12,89.75,1052.4,Yes,1,97,5671,Attitude of support person
0691-JVSYA,Female,No,Yes,No,1,United States,California,Pasadena,91103,34.167465& -118.165327,34.167465,-118.165327,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),One year,53,94.85,5000.2,Yes,1,80,4328,Network reliability
0137-OCGAB,Female,No,No,No,1,United States,California,Fairfield,94533,38.287136& -122.02711,38.287136,-122.02711,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Mailed check,Month-to-month,1,80.2,80.2,Yes,1,90,3056,Lack of affordable download/upload speed
0139-IVFJG,Female,No,Yes,No,1,United States,California,Inyokern,93527,36.041315& -118.188235,36.041315,-118.188235,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No,Electronic check,Month-to-month,2,90.35,190.5,No,0,29,5361,
6317-YPKDH,Female,No,No,No,1,United States,California,Glendale,91202,34.167926& -118.267539,34.167926,-118.267539,No,No phone service,DSL,No,Yes,No,No,No,No,No,Bank transfer (automatic),Month-to-month,1,29.95,29.95,Yes,1,95,4534,Long distance charges
0141-YEAYS,Female,Yes,No,No,1,United States,California,Lone Pine,93545,36.590415& -118.073839,36.590415,-118.073839,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,27,86.45,2401.05,No,0,77,5990,
0147-ESWWR,Female,Yes,Yes,No,1,United States,California,Atascadero,93422,35.453912& -120.69461,35.453912,-120.69461,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,39,101.25,3949.15,No,0,77,3172,
1024-GUALD,Female,No,Yes,No,1,United States,California,Glendale,91207,34.182378& -118.262922,34.182378,-118.262922,No,No phone service,DSL,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,1,24.8,24.8,Yes,1,94,4851,Product dissatisfaction
0148-DCDOS,Male,No,No,No,1,United States,California,Planada,95365,37.329725& -120.306399,37.329725,-120.306399,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,25,94.7,2362.1,Yes,1,82,5641,Price too high
0151-ONTOV,Female,No,No,No,1,United States,California,Moorpark,93021,34.312945& -118.858169,34.312945,-118.858169,Yes,No,Fiber optic,No,No,No,No,No,No,No,Mailed check,Month-to-month,1,70.9,70.9,Yes,1,78,4739,Attitude of support person
0168-XZKBB,Female,No,Yes,No,1,United States,California,Boron,93516,34.95703& -117.73045,34.95703,-117.73045,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,Month-to-month,19,86.85,1564.4,No,0,64,5072,
7841-TZDMQ,Male,No,No,No,1,United States,California,Sun Valley,91352,34.231053& -118.338307,34.231053,-118.338307,Yes,No,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),Month-to-month,2,46.0,84.5,Yes,1,76,2667,Don't know
0177-PXBAT,Male,Yes,Yes,No,1,United States,California,Desert Center,92239,33.889605& -115.257009,33.889605,-115.257009,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,33,109.9,3694.7,No,0,59,5655,
0742-MOABM,Male,No,Yes,No,1,United States,California,Panorama City,91402,34.223768& -118.445461,34.223768,-118.445461,Yes,No,DSL,No,No,No,Yes,No,No,No,Mailed check,Month-to-month,4,50.05,179.35,Yes,1,82,3394,Don't know
2232-DMLXU,Female,No,Yes,No,1,United States,California,Van Nuys,91411,34.17847& -118.459472,34.17847,-118.459472,Yes,No,DSL,No,No,No,No,Yes,No,No,Mailed check,Month-to-month,1,55.2,55.2,Yes,1,81,3638,Poor expertise of online support
0178-SZBHO,Male,No,Yes,Yes,1,United States,California,Tuolumne,95379,37.939768& -120.188002,37.939768,-120.188002,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,Electronic check,Month-to-month,47,87.2,4017.45,No,0,76,3760,
1251-KRREG,Male,No,No,No,1,United States,California,North Hollywood,91601,34.1692& -118.372498,34.1692,-118.372498,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,Mailed check,Month-to-month,2,54.4,114.1,Yes,1,81,2556,Price too high
0187-QSXOE,Male,Yes,Yes,No,1,United States,California,Fresno,93725,36.623632& -119.741322,36.623632,-119.741322,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,7,89.0,605.45,No,0,36,5711,
0187-WZNAB,Female,No,Yes,Yes,1,United States,California,Del Rey,93616,36.657462& -119.595293,36.657462,-119.595293,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Mailed check,Month-to-month,27,74.4,1972.35,No,0,57,4331,
0322-YINQP,Male,No,No,No,1,United States,California,Covina,91723,34.084747& -117.886844,34.084747,-117.886844,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Mailed check,Month-to-month,1,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website
0195-IESCP,Male,No,Yes,No,1,United States,California,Armona,93202,36.315979& -119.710852,36.315979,-119.710852,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,Month-to-month,10,85.25,855.3,Yes,1,75,3573,Competitor offered more data
9514-JDSKI,Male,Yes,Yes,No,1,United States,California,El Monte,91732,34.074492& -118.01462,34.074492,-118.01462,No,No phone service,DSL,No,Yes,No,No,Yes,No,No,Electronic check,Month-to-month,1,40.2,40.2,Yes,1,65,5828,Limited range of services
4959-JOSRX,Female,No,Yes,No,1,United States,California,La Puente,91744,34.031441& -117.936436,34.031441,-117.936436,Yes,No,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),Month-to-month,2,44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed
7273-TEFQD,Male,Yes,No,No,1,United States,California,La Puente,91746,34.038983& -117.991372,34.038983,-117.991372,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,3,41.15,132.2,Yes,1,96,2314,Long distance charges
0196-JTUQI,Female,No,No,No,1,United States,California,Clarksburg,95612,38.384648& -121.578701,38.384648,-121.578701,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),Month-to-month,9,75.2,633.85,No,0,68,5841,
6323-AYBRX,Male,No,No,No,1,United States,California,Ontario,91762,34.057256& -117.667677,34.057256,-117.667677,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,Two year,59,19.35,1099.6,Yes,1,83,5084,Price too high
0196-VULGZ,Female,Yes,Yes,No,1,United States,California,Irvine,92620,33.716136& -117.752574,33.716136,-117.752574,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,Month-to-month,6,84.35,474.9,Yes,1,77,5721,Deceased
6366-ZGQGL,Male,No,No,No,1,United States,California,Pomona,91766,34.042286& -117.756106,34.042286,-117.756106,No,No phone service,DSL,No,No,No,No,No,No,No,Bank transfer (automatic),Month-to-month,1,24.8,24.8,Yes,1,73,5087,Service dissatisfaction
0207-MDKNV,Female,No,No,No,1,United States,California,Daly City,94014,37.691561& -122.445202,37.691561,-122.445202,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,Month-to-month,15,105.1,1582.75,Yes,1,84,2122,Competitor made better offer
0215-BQKGS,Male,No,No,No,1,United States,California,Garden Grove,92844,33.766476& -117.969795,33.766476,-117.969795,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Credit card (automatic),Month-to-month,30,84.3,2438.6,No,0,66,5393,
0219-YTZUE,Male,No,Yes,No,1,United States,California,San Diego,92103,32.747484& -117.166877,32.747484,-117.166877,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,4,84.8,371.9,Yes,1,73,4939,Don't know
0220-EBGCE,Male,No,No,No,1,United States,California,Fort Jones,96032,41.5837& -122.935922,41.5837,-122.935922,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,2,85.85,167.3,Yes,1,67,3273,Competitor offered more data
0221-WMXNQ,Male,Yes,No,No,1,United States,California,Chino,91710,33.990646& -117.663025,33.990646,-117.663025,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Electronic check,Month-to-month,4,75.35,273.4,No,0,40,4033,
0225-ZORZP,Male,No,No,No,1,United States,California,Groveland,95321,37.902968& -119.667544,37.902968,-119.667544,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,No,Electronic check,Month-to-month,3,84.3,235.05,No,0,43,5828,
3580-REOAC,Male,No,No,No,1,United States,California,Bonita,91902,32.67117& -117.00232,32.67117,-117.00232,Yes,No,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),Month-to-month,10,44.85,435.4,Yes,1,83,4061,Poor expertise of phone support
0231-LXVAP,Male,No,No,No,1,United States,California,Tipton,93272,36.047414& -119.344304,36.047414,-119.344304,Yes,No,Fiber optic,No,No,No,Yes,No,No,Yes,Electronic check,Month-to-month,1,75.9,75.9,Yes,1,66,3389,Attitude of support person
0235-KGSLC,Female,No,No,No,1,United States,California,Buellton,93427,34.631362& -120.238218,34.631362,-120.238218,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Credit card (automatic),Month-to-month,1,85.55,85.55,Yes,1,86,3967,Moved
0236-HFWSV,Male,No,No,No,1,United States,California,Palmdale,93552,34.557711& -118.029441,34.557711,-118.029441,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,15,93.35,1444.65,Yes,1,77,5264,Competitor offered higher download speeds
0237-YFUTL,Female,No,Yes,No,1,United States,California,Midway City,92655,33.744439& -117.98588,33.744439,-117.98588,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,50,109.65,5405.8,No,0,21,4676,
0239-OXEXL,Female,No,No,No,1,United States,California,Oakland,94619,37.787186& -122.14633,37.787186,-122.14633,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,Mailed check,Month-to-month,46,84.25,3847.6,No,0,49,3509,
2321-OMBXY,Female,No,Yes,No,1,United States,California,Carlsbad,92009,33.098018& -117.258203,33.098018,-117.258203,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Credit card (automatic),One year,38,80.3,3058.65,Yes,1,81,2071,Limited range of services
0256-LTHVJ,Female,No,Yes,No,1,United States,California,Ludlow,92338,34.702766& -116.093376,34.702766,-116.093376,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,Month-to-month,28,81.05,2227.1,Yes,1,98,5201,Competitor had better devices
5020-ZSTTY,Female,Yes,No,No,1,United States,California,El Cajon,92020,32.79697& -116.969082,32.79697,-116.969082,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),One year,54,82.45,4350.1,Yes,1,83,4149,Long distance charges
0257-ZESQC,Female,Yes,Yes,No,1,United States,California,Perris,92571,33.828289& -117.201666,33.828289,-117.201666,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,27,75.2,1929.35,Yes,1,99,4517,Lack of self-service on Website
0258-NOKBL,Male,No,No,No,1,United States,California,Fortuna,95540,40.584991& -124.121504,40.584991,-124.121504,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,Electronic check,Month-to-month,3,90.4,268.45,No,0,61,5625,
0259-GBZSH,Male,No,No,No,1,United States,California,San Diego,92122,32.85723& -117.209774,32.85723,-117.209774,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,Month-to-month,2,85.65,181.5,Yes,1,73,3878,Product dissatisfaction
4322-RCYMT,Male,No,Yes,No,1,United States,California,Palomar Mountain,92060,33.309852& -116.823091,33.309852,-116.823091,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),One year,68,75.8,5293.95,Yes,1,81,4903,Service dissatisfaction
6680-NENYN,Female,No,No,No,1,United States,California,Pauma Valley,92061,33.313828& -116.940501,33.313828,-116.940501,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,Two year,43,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website
0265-EDXBD,Male,Yes,Yes,No,1,United States,California,Mount Laguna,91948,32.830852& -116.444601,32.830852,-116.444601,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,32,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website
0265-PSUAE,Female,No,Yes,Yes,1,United States,California,Lotus,95651,38.815515& -120.916997,38.815515,-120.916997,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),Month-to-month,16,100.7,1522.7,No,0,72,3337,
0280-XJGEX,Male,No,No,Yes,1,United States,California,Los Angeles,90015,34.039224& -118.266293,34.039224,-118.266293,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,49,103.7,5036.3,Yes,1,89,5340,Competitor had better devices
0623-IIHUG,Female,Yes,No,No,1,United States,California,San Diego,92104,32.741499& -117.127409,32.741499,-117.127409,No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,Electronic check,Month-to-month,21,41.9,840.1,Yes,1,97,4778,Don't know
0295-PPHDO,Male,No,No,No,1,United States,California,La Puente,91744,34.031441& -117.936436,34.031441,-117.936436,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,1,95.45,95.45,Yes,1,71,5962,Attitude of support person
9057-MSWCO,Male,Yes,Yes,No,1,United States,California,San Diego,92108,32.774046& -117.142454,32.774046,-117.142454,No,No phone service,DSL,Yes,No,No,No,No,No,No,Credit card (automatic),Month-to-month,27,30.75,805.1,Yes,1,91,2927,Poor expertise of phone support
0302-JOIVN,Female,No,Yes,No,1,United States,California,San Gabriel,91775,34.114772& -118.089431,34.114772,-118.089431,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,8,101.15,842.9,Yes,1,76,2750,Network reliability
0306-JAELE,Male,No,No,No,1,United States,California,Tecopa,92389,35.824572& -116.274755,35.824572,-116.274755,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,5,96.1,453.4,Yes,1,66,4192,Competitor had better devices
0310-MVLET,Female,No,Yes,No,1,United States,California,Snelling,95369,37.521708& -120.426843,37.521708,-120.426843,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,61,99.15,6010.05,Yes,1,77,5612,Service dissatisfaction
6905-NIQIN,Male,No,No,No,1,United States,California,San Diego,92154,32.578103& -117.012975,32.578103,-117.012975,Yes,No,DSL,No,Yes,No,No,No,No,No,Mailed check,Month-to-month,1,50.65,50.65,Yes,1,76,2431,Don't know
0311-UNPFF,Female,No,No,No,1,United States,California,Long Beach,90807,33.830099& -118.182239,33.830099,-118.182239,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,26,88.8,2274.35,Yes,1,82,4910,Service dissatisfaction
4895-TMWIR,Male,Yes,Yes,No,1,United States,California,Indian Wells,92210,33.537646& -116.291089,33.537646,-116.291089,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,Month-to-month,11,19.95,214.75,Yes,1,80,5888,Limited range of services
0315-LVCRK,Male,No,No,No,1,United States,California,El Dorado Hills,95762,38.684437& -121.055634,38.684437,-121.055634,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,No,Electronic check,Month-to-month,11,84.8,888.75,No,0,60,4924,
0318-QUUOB,Male,No,Yes,No,1,United States,California,Santa Rosa,95403,38.488431& -122.752839,38.488431,-122.752839,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,Month-to-month,1,80.55,80.55,Yes,1,91,4273,Service dissatisfaction
0320-JDNQG,Male,No,Yes,No,1,United States,California,Oxnard,93035,34.18454& -119.224666,34.18454,-119.224666,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,23,99.85,2331.3,Yes,1,83,3425,Don't know
